400 722
2.631579 8.947368 2.059776
3.684211 8.947368 2.063897
4.736842 8.947368 2.321395
5.789474 8.947368 2.762572
6.842105 8.947368 3.268015
7.894737 8.947368 3.700914
8.947368 8.947368 3.944094
10.0 8.947368 3.931734
-10.0 10.0 2.080464
-8.947368 10.0 2.068266
-7.894737 10.0 2.308263
-6.842105 10.0 2.735494
-5.789474 10.0 3.234319
-4.736842 10.0 3.669721
-3.684211 10.0 3.923848
-2.631579 10.0 3.927914
-1.578947 10.0 3.68082
-0.526316 10.0 3.249446
0.526316 10.0 2.750554
1.578947 10.0 2.31918
2.631579 10.0 2.072086
3.684211 10.0 2.076152
4.736842 10.0 2.330279
5.789474 10.0 2.765681
6.842105 10.0 3.264506
7.894737 10.0 3.691737
8.947368 10.0 3.931734
10.0 10.0 3.919536
190 189 169
169 170 190
209 189 190
190 210 209
259 279 258
258 279 278
277 258 278
257 258 277
68 48 69
69 48 49
93 114 113
94 114 93
93 112 92
113 112 93
99 118 98
119 118 99
19 39 18
18 39 38
37 17 18
18 38 37
79 99 78
78 99 98
16 17 37
37 36 16
56 35 36
55 35 56
4 24 23
23 3 4
27 26 6
6 7 27
24 4 25
25 4 5
25 6 26
5 6 25
24 25 44
44 25 45
45 65 44
44 65 64
23 24 43
24 44 43
43 44 64
43 64 63
63 64 83
83 64 84
259 258 239
239 258 238
219 239 218
218 239 238
237 258 257
238 258 237
237 218 238
217 218 237
298 279 299
278 279 298
398 379 399
378 379 398
359 379 358
358 379 378
376 396 395
395 375 376
257 277 276
276 256 257
375 395 374
374 395 394
394 393 374
374 393 373
373 353 374
374 353 354
180 160 181
181 160 161
380 360 381
381 360 361
341 360 340
361 360 341
131 151 150
131 150 130
132 131 111
111 112 132
148 147 128
128 147 127
170 169 149
149 150 170
130 150 149
149 129 130
149 128 129
148 128 149
10 11 30
30 11 31
9 10 30
30 29 9
7 8 28
27 7 28
28 8 9
9 29 28
49 48 28
28 29 49
58 39 59
38 39 58
59 79 58
79 78 58
135 134 115
115 134 114
97 78 98
77 78 97
15 16 36
36 35 15
47 28 48
27 28 47
85 105 104
85 104 84
84 64 85
64 65 85
0 1 20
20 1 21
20 21 41
41 40 20
2 3 22
22 3 23
22 1 2
21 1 22
140 141 161
161 160 140
120 100 121
121 100 101
141 140 121
121 140 120
102 121 101
122 121 102
167 166 146
146 147 167
189 209 208
208 188 189
151 131 152
152 131 132
319 298 299
318 298 319
318 319 338
338 319 339
338 339 359
359 358 338
297 277 278
278 298 297
336 315 316
335 315 336
357 338 358
337 338 357
357 336 337
356 336 357
355 334 335
354 334 355
355 374 354
375 374 355
355 336 356
335 336 355
376 375 355
355 356 376
280 260 281
281 260 261
241 222 242
221 222 241
240 220 241
241 220 221
241 242 262
262 261 241
261 260 241
241 260 240
203 222 202
223 222 203
223 203 204
204 224 223
166 167 186
186 167 187
166 186 165
165 186 185
202 222 201
201 222 221
221 220 201
201 220 200
201 200 180
180 181 201
373 393 372
372 393 392
311 312 331
331 312 332
351 350 331
331 350 330
246 247 267
267 266 246
227 247 246
246 226 227
245 225 246
225 226 246
287 266 267
286 266 287
287 306 286
307 306 287
280 281 300
300 281 301
301 302 321
321 302 322
321 300 301
320 300 321
340 320 321
321 341 340
244 225 245
244 224 225
245 246 265
265 246 266
265 266 286
265 286 285
265 244 245
264 244 265
264 265 284
284 265 285
305 284 285
304 284 305
285 286 305
286 306 305
305 324 304
325 324 305
345 324 325
344 324 345
325 305 326
326 305 306
326 306 307
326 307 327
346 345 326
326 345 325
327 347 326
326 347 346
110 131 130
110 111 131
90 70 91
91 70 71
91 110 90
111 110 91
92 112 91
112 111 91
71 70 50
50 51 71
50 69 49
50 70 69
50 30 31
31 51 50
29 30 50
49 29 50
72 91 71
92 91 72
71 51 72
51 52 72
57 36 37
57 56 36
57 78 77
57 58 78
37 38 57
38 58 57
14 15 34
34 15 35
34 13 14
34 33 13
32 52 51
32 51 31
32 11 12
31 11 32
53 52 32
32 33 53
12 13 32
13 33 32
76 57 77
56 57 76
77 97 76
76 97 96
55 56 76
76 75 55
75 76 95
95 76 96
95 114 94
95 115 114
94 74 95
74 75 95
105 85 106
106 85 86
87 107 106
86 87 106
104 105 125
125 124 104
67 48 68
67 47 48
41 21 42
21 22 42
23 43 42
42 22 23
103 83 84
84 104 103
104 124 103
103 124 123
122 102 103
103 123 122
168 169 189
189 188 168
168 149 169
148 149 168
187 167 168
168 188 187
168 147 148
168 167 147
207 186 187
206 186 207
227 226 207
207 226 206
187 188 207
188 208 207
199 219 198
219 218 198
179 198 178
199 198 179
337 336 317
317 336 316
318 338 317
317 338 337
317 298 318
317 297 298
297 317 296
296 317 316
316 315 296
296 315 295
296 276 277
277 297 296
378 398 377
398 397 377
377 396 376
377 397 396
377 358 378
377 357 358
376 356 377
356 357 377
293 313 292
292 313 312
275 296 295
276 296 275
295 294 275
275 294 274
282 302 301
301 281 282
282 281 261
282 261 262
205 186 206
185 186 205
206 226 205
205 226 225
225 224 205
224 204 205
183 163 184
184 163 164
184 205 204
185 205 184
184 165 185
164 165 184
184 204 203
184 203 183
123 124 143
143 124 144
164 163 143
144 164 143
182 203 202
183 203 182
202 201 182
182 201 181
371 391 390
371 390 370
370 350 371
371 350 351
392 391 371
371 372 392
351 331 352
352 331 332
372 371 352
352 371 351
352 353 373
373 372 352
307 287 308
308 287 288
327 307 308
308 328 327
310 331 330
311 331 310
268 287 267
288 287 268
267 247 268
247 248 268
228 207 208
227 207 228
228 208 209
209 229 228
228 247 227
228 248 247
363 384 383
364 384 363
263 282 262
283 282 263
264 284 263
263 284 283
302 282 303
303 282 283
303 284 304
283 284 303
327 328 348
348 347 327
385 384 365
365 384 364
344 345 365
365 364 344
130 129 109
109 110 130
174 193 173
194 193 174
174 175 195
195 194 174
94 93 73
73 74 94
73 72 52
73 52 53
73 93 92
92 72 73
98 118 117
117 97 98
54 73 53
74 73 54
54 75 74
55 75 54
53 33 54
33 34 54
54 35 55
54 34 35
145 164 144
145 165 164
146 166 145
166 165 145
144 124 145
124 125 145
126 145 125
146 145 126
127 147 126
126 147 146
126 106 107
126 107 127
105 106 126
126 125 105
45 25 46
46 25 26
46 26 27
27 47 46
101 100 81
81 100 80
217 237 236
236 216 217
236 237 257
257 256 236
216 236 215
215 236 235
215 194 195
214 194 215
215 234 214
235 234 215
196 215 195
216 215 196
214 234 213
213 234 233
213 233 232
232 212 213
213 194 214
213 193 194
191 210 190
191 211 210
113 114 133
114 134 133
132 112 133
133 112 113
133 152 132
133 153 152
353 352 333
333 352 332
354 353 333
333 334 354
332 312 333
312 313 333
233 234 253
253 234 254
291 310 290
311 310 291
291 312 311
291 292 312
230 209 210
230 229 209
249 228 229
248 228 249
229 230 249
249 230 250
314 333 313
334 333 314
314 315 335
335 334 314
314 313 293
293 294 314
295 315 314
314 294 295
235 236 255
255 236 256
254 234 255
255 234 235
255 275 274
255 274 254
256 276 255
276 275 255
142 121 122
141 121 142
122 123 142
123 143 142
328 308 309
329 328 309
309 310 330
330 329 309
364 363 343
344 364 343
223 224 243
224 244 243
242 222 243
243 222 223
243 244 264
264 263 243
262 242 243
243 263 262
368 388 387
368 387 367
347 348 368
367 347 368
346 347 366
366 347 367
387 386 366
367 387 366
366 345 346
366 365 345
366 386 385
385 365 366
69 70 89
89 70 90
90 110 89
110 109 89
154 133 134
153 133 154
154 174 173
173 153 154
135 115 116
116 136 135
116 95 96
115 95 116
137 136 116
116 117 137
96 97 116
97 117 116
159 179 178
178 158 159
157 136 137
156 136 157
138 117 118
137 117 138
138 118 119
119 139 138
138 157 137
158 157 138
138 159 158
139 159 138
66 87 86
66 67 87
66 85 65
86 85 66
47 67 66
66 46 47
66 65 45
45 46 66
82 103 102
83 103 82
82 102 101
101 81 82
197 218 217
197 198 218
217 216 197
216 196 197
170 150 171
150 151 171
190 170 171
171 191 190
193 213 192
192 213 212
211 191 192
192 212 211
292 291 272
272 291 271
210 211 231
231 230 210
231 212 232
211 212 231
250 230 231
231 251 250
270 291 290
271 291 270
250 251 270
270 251 271
162 163 183
183 182 162
162 181 161
162 182 181
162 143 163
162 142 143
161 141 162
141 142 162
304 324 323
323 303 304
322 302 323
302 303 323
323 324 344
344 343 323
362 381 361
362 382 381
383 382 362
362 363 383
370 390 369
369 390 389
389 388 369
388 368 369
88 67 68
87 67 88
68 69 88
69 89 88
155 136 156
135 136 155
175 174 155
174 154 155
155 134 135
155 154 134
62 43 63
62 42 43
63 83 62
83 82 62
177 158 178
177 157 158
178 198 177
198 197 177
151 152 172
172 171 151
152 153 172
172 153 173
191 171 172
172 192 191
173 193 172
193 192 172
273 253 254
254 274 273
274 294 273
273 294 293
293 292 273
292 272 273
251 231 252
252 231 232
252 273 272
253 273 252
232 233 252
233 253 252
252 272 271
271 251 252
269 268 248
248 249 269
269 249 250
250 270 269
322 323 342
342 323 343
341 321 342
342 321 322
342 343 363
363 362 342
361 341 342
342 362 361
349 348 328
349 328 329
330 350 349
349 329 330
349 368 348
349 369 368
349 350 370
370 369 349
129 128 108
108 109 129
108 128 127
127 107 108
108 89 109
108 88 89
108 107 87
87 88 108
80 60 61
61 81 80
61 40 41
61 60 40
61 82 81
61 62 82
41 42 61
42 62 61
195 175 176
176 196 195
176 155 156
175 155 176
176 197 196
176 177 197
156 157 176
157 177 176
290 310 289
310 309 289
289 308 288
289 309 308
289 270 290
289 269 270
288 268 289
268 269 289
